date,price,c,d
2019/10/28,55.55,60.78,60.75
2019/10/25,56.49,61.27,62.23
2019/10/24,56.08,60.77,61.77
2019/10/23,55.85,60.26,61.25
2019/10/22,54.16,58.75,59.8
2019/10/21,53.23,58.39,59.31
2019/10/18,53.7,58.7,59.78
2019/10/17,53.84,59.46,60.37
2019/10/16,53.37,58.59,59
2019/10/15,52.76,58.51,58.79
2019/10/14,53.52,58.18,59.22
2019/10/11,54.71,59.65,60.67
2019/10/10,53.52,58.55,59.96
2019/10/9,52.58,56.6,58.06
2019/10/8,52.59,57.08,57.91
2019/10/7,52.71,57.94,58.73
2019/10/4,52.79,57.46,59.08
2019/10/3,52.36,56.76,58.35
2019/10/2,52.62,56.75,58.04
2019/10/1,53.55,58.21,60.09
2019/9/30,54.04,59.55,61.34
2019/9/27,55.9,61,62.06
2019/9/26,56.22,62.01,63.35
2019/9/25,56.32,61.78,62.94
2019/9/24,57.17,61.71,62.96
2019/9/23,58.64,63.46,64.74
2019/9/20,57.87,63.7,64.6
2019/9/19,58.14,64.58,64.83
2019/9/18,58.14,62.28,63.88
2019/9/17,59.21,62.79,64.14
2019/9/16,63.05,66.52,68.99
2019/9/13,54.71,58.31,61.18
2019/9/12,55.08,58.3,61.26
2019/9/11,55.61,59.06,61.84
2019/9/10,57.32,61.17,63.91
2019/9/9,57.83,61.08,64.08
2019/9/6,56.4,59.78,62.12
2019/9/5,56.28,58.87,61.5
2019/9/4,56.17,58.41,60.75
2019/9/3,53.86,56.46,58.52
2019/9/2,0,57.07,58.94
2019/8/30,55.02,58.88,61.12
2019/8/29,56.62,60.12,60.95
2019/8/28,55.71,59.68,60.32
2019/8/27,54.94,59.49,59.91
2019/8/26,53.51,58.09,58.99
2019/8/23,54.05,58.63,58.99
